Equipo,Fecha de Inicio de Mantenimiento,Fecha de Término de Mantenimiento,Falla Identificada,Descripción de la Falla,Causa Raíz,Tiempo Estimado de Mantenimiento (hrs),Tiempo Real de Mantenimiento (hrs)
Tamices o Cribas,2073-04-13,2073-04-14 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,24,26
Prensas,2073-05-18,2073-05-18 12:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,12,12
Bombas,2073-06-27,2073-06-27 04:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Mantenimiento insuficiente,6,4
Refinadores,2073-08-16,2073-08-16 09:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,8,9
Prensas,2073-09-20,2073-09-22 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,48,50
Tamices o Cribas,2073-10-20,2073-10-21 23:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,48,47
Tamices o Cribas,2073-11-19,2073-11-19 03:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,4,3
Digestores,2074-01-18,2074-01-18 06:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,6,6
Bombas,2074-02-27,2074-02-27 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,24,22
Digestores,2074-04-28,2074-04-28 11:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,12,11
Digestores,2074-06-27,2074-06-27 07:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Falla mecánica,8,7
Tamices o Cribas,2074-07-27,2074-07-27 04:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,6,4
Tamices o Cribas,2074-08-26,2074-08-26 10:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,8,10
Prensas,2074-09-30,2074-09-30 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Desgaste natural,4,2
Refinadores,2074-11-19,2074-11-19 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,24,23
Tamices o Cribas,2074-12-19,2074-12-19 08:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,8,8
Refinadores,2075-02-07,2075-02-07 04:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,4,4
Digestores,2075-04-08,2075-04-08 11:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Desgaste natural,12,11
Digestores,2075-06-07,2075-06-07 06:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Mantenimiento insuficiente,4,6
Tamices o Cribas,2075-07-07,2075-07-07 07:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,6,7
Bombas,2075-08-16,2075-08-16 23:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Condiciones operativas extremas,24,23
Lavadoras de Pulpa,2075-09-30,2075-10-01 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,24,25
Prensas,2075-11-04,2075-11-05 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,24,26
Digestores,2076-01-03,2076-01-04 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,24,26
Tamices o Cribas,2076-02-02,2076-02-02 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,8,7
Tamices o Cribas,2076-03-03,2076-03-03 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Fatiga del material,24,22
Bombas,2076-04-12,2076-04-12 10:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,12,10
Tamices o Cribas,2076-05-12,2076-05-12 06:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,4,6
Tamices o Cribas,2076-06-11,2076-06-11 06:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,4,6
Lavadoras de Pulpa,2076-07-26,2076-07-29 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,72,72
Bombas,2076-09-04,2076-09-05 00:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Mantenimiento insuficiente,24,24
Prensas,2076-10-09,2076-10-09 04:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,4,4
Lavadoras de Pulpa,2076-11-23,2076-11-23 10:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,8,10
Bombas,2077-01-02,2077-01-04 23:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,72,71
Refinadores,2077-02-21,2077-02-23 02:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,48,50
Prensas,2077-03-28,2077-03-30 23:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,72,71
Prensas,2077-05-02,2077-05-02 06:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,8,6
Digestores,2077-07-01,2077-07-03 23:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,72,71
Refinadores,2077-08-20,2077-08-21 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,24,24
Bombas,2077-09-29,2077-09-30 23:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,48,47
Digestores,2077-11-28,2077-12-01 01:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Falla mecánica,72,73
Refinadores,2078-01-17,2078-01-19 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,48,50
Prensas,2078-02-21,2078-02-21 13:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,12,13
Refinadores,2078-04-12,2078-04-12 12:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,12,12
Digestores,2078-06-11,2078-06-11 03:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,4,3
Bombas,2078-07-21,2078-07-22 23:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,48,47
Tamices o Cribas,2078-08-20,2078-08-20 08:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,6,8
Refinadores,2078-10-09,2078-10-09 08:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,8,8
Refinadores,2078-11-28,2078-11-28 14:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,12,14
Tamices o Cribas,2078-12-28,2078-12-30 00:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Fatiga del material,48,48
Tamices o Cribas,2079-01-27,2079-01-29 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,72,71
Lavadoras de Pulpa,2079-03-13,2079-03-13 08:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Desgaste natural,6,8
Refinadores,2079-05-02,2079-05-02 10:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,8,10
Digestores,2079-07-01,2079-07-04 02:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,72,74
Prensas,2079-08-05,2079-08-05 11:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,12,11
Bombas,2079-09-14,2079-09-14 08:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Sobrecarga,8,8
Tamices o Cribas,2079-10-14,2079-10-16 01:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Condiciones operativas extremas,48,49
Refinadores,2079-12-03,2079-12-04 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Mantenimiento insuficiente,24,26
Tamices o Cribas,2080-01-02,2080-01-04 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,48,48
Digestores,2080-03-02,2080-03-02 08:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,8,8
Digestores,2080-05-01,2080-05-01 11:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Error humano,12,11
Prensas,2080-06-05,2080-06-05 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,4,2
Refinadores,2080-07-25,2080-07-28 01:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Falla mecánica,72,73
Tamices o Cribas,2080-08-24,2080-08-24 10:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,12,10
Digestores,2080-10-23,2080-10-24 00:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Falla mecánica,24,24
Bombas,2080-12-02,2080-12-02 12:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Corrosión,12,12
Prensas,2081-01-06,2081-01-06 14:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,12,14
Refinadores,2081-02-25,2081-02-25 09:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,8,9
Bombas,2081-04-06,2081-04-06 02:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,4,2
Bombas,2081-05-16,2081-05-17 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,48,46
Refinadores,2081-07-05,2081-07-07 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Mantenimiento insuficiente,48,50
Prensas,2081-08-09,2081-08-09 10:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Condiciones operativas extremas,8,10
Digestores,2081-10-08,2081-10-08 05:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,6,5
Bombas,2081-11-17,2081-11-20 00:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Error humano,72,72
Prensas,2081-12-22,2081-12-22 05:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Desgaste natural,4,5
Bombas,2082-01-31,2082-01-31 08:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,8,8
Digestores,2082-04-01,2082-04-01 10:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Falla mecánica,12,10
Bombas,2082-05-11,2082-05-13 01:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Sobrecarga,48,49
Refinadores,2082-06-30,2082-06-30 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,6,5
Refinadores,2082-08-19,2082-08-19 04:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,6,4
Digestores,2082-10-18,2082-10-18 22:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,24,22
Prensas,2082-11-22,2082-11-22 05:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,6,5
Bombas,2083-01-01,2083-01-01 05:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,6,5
Lavadoras de Pulpa,2083-02-15,2083-02-15 05:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Condiciones operativas extremas,6,5
Refinadores,2083-04-06,2083-04-06 10:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,8,10
Tamices o Cribas,2083-05-06,2083-05-07 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,48,46
Bombas,2083-06-15,2083-06-17 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Condiciones operativas extremas,72,70
Lavadoras de Pulpa,2083-07-30,2083-07-30 07:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,6,7
Bombas,2083-09-08,2083-09-11 00:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,72,72
Tamices o Cribas,2083-10-08,2083-10-08 11:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,12,11
Bombas,2083-11-17,2083-11-20 00:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Sobrecarga,72,72
Digestores,2084-01-16,2084-01-18 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,48,48
Lavadoras de Pulpa,2084-03-01,2084-03-01 13:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,12,13
Prensas,2084-04-05,2084-04-06 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,24,24
Lavadoras de Pulpa,2084-05-20,2084-05-23 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,72,73
Prensas,2084-06-24,2084-06-25 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,24,26
Tamices o Cribas,2084-07-24,2084-07-24 05:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,6,5
Tamices o Cribas,2084-08-23,2084-08-23 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,24,22
Tamices o Cribas,2084-09-22,2084-09-22 11:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Sobrecarga,12,11
Tamices o Cribas,2084-10-22,2084-10-23 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Condiciones operativas extremas,24,26
Bombas,2084-12-01,2084-12-03 22:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Corrosión,72,70
Refinadores,2085-01-20,2085-01-22 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,48,50
Lavadoras de Pulpa,2085-03-06,2085-03-06 14:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,12,14
Refinadores,2085-04-25,2085-04-25 13:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,12,13
Refinadores,2085-06-14,2085-06-14 04:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,6,4
Tamices o Cribas,2085-07-14,2085-07-14 05:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,4,5
Lavadoras de Pulpa,2085-08-28,2085-08-28 07:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Condiciones operativas extremas,6,7
Lavadoras de Pulpa,2085-10-12,2085-10-12 07:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,6,7
Bombas,2085-11-21,2085-11-21 06:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,6,6
Tamices o Cribas,2085-12-21,2085-12-23 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,48,50
Refinadores,2086-02-09,2086-02-09 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,24,23
Prensas,2086-03-16,2086-03-16 04:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,4,4
Lavadoras de Pulpa,2086-04-30,2086-04-30 11:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,12,11
Refinadores,2086-06-19,2086-06-20 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,48,47
Prensas,2086-07-24,2086-07-26 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,48,50
Digestores,2086-09-22,2086-09-24 01:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Error humano,48,49
Prensas,2086-10-27,2086-10-28 22:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Fatiga del material,48,46
Refinadores,2086-12-16,2086-12-18 22:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,72,70
Tamices o Cribas,2087-01-15,2087-01-15 05:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,4,5
Lavadoras de Pulpa,2087-03-01,2087-03-02 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,24,26
Digestores,2087-04-30,2087-05-03 00:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,72,72
Lavadoras de Pulpa,2087-06-14,2087-06-15 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,48,47
Prensas,2087-07-19,2087-07-19 10:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Falla mecánica,12,10
Digestores,2087-09-17,2087-09-17 12:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,12,12
Refinadores,2087-11-06,2087-11-06 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,4,5
Refinadores,2087-12-26,2087-12-26 10:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,8,10
Prensas,2088-01-30,2088-01-30 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,24,22
Digestores,2088-03-30,2088-04-02 01:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,72,73
Tamices o Cribas,2088-04-29,2088-04-29 11:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,12,11
Bombas,2088-06-08,2088-06-08 06:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,4,6
Refinadores,2088-07-28,2088-07-28 22:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,24,22
Tamices o Cribas,2088-08-27,2088-08-28 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,24,26
Tamices o Cribas,2088-09-26,2088-09-26 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,4,2
Tamices o Cribas,2088-10-26,2088-10-26 11:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,12,11
Refinadores,2088-12-15,2088-12-15 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,6,6
Tamices o Cribas,2089-01-14,2089-01-14 04:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,6,4
Lavadoras de Pulpa,2089-02-28,2089-02-28 04:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,4,4
Lavadoras de Pulpa,2089-04-14,2089-04-14 13:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,12,13
Bombas,2089-05-24,2089-05-24 11:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Fatiga del material,12,11
Lavadoras de Pulpa,2089-07-08,2089-07-10 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,72,71
Prensas,2089-08-12,2089-08-15 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Fatiga del material,72,74
Bombas,2089-09-21,2089-09-23 23:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Mantenimiento insuficiente,72,71
Digestores,2089-11-20,2089-11-22 23:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,72,71
Tamices o Cribas,2089-12-20,2089-12-21 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,48,47
Lavadoras de Pulpa,2090-02-03,2090-02-03 04:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,6,4
Refinadores,2090-03-25,2090-03-25 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,4,5
Digestores,2090-05-24,2090-05-24 10:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,8,10
Prensas,2090-06-28,2090-06-28 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,6,7
Lavadoras de Pulpa,2090-08-12,2090-08-13 22:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,48,46
Digestores,2090-10-11,2090-10-11 06:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,4,6
Digestores,2090-12-10,2090-12-10 22:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Falla mecánica,24,22
Tamices o Cribas,2091-01-09,2091-01-09 08:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,6,8
Bombas,2091-02-18,2091-02-18 12:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Sobrecarga,12,12
Bombas,2091-03-30,2091-03-30 08:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Falla mecánica,6,8
Digestores,2091-05-29,2091-05-29 10:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Fatiga del material,8,10
Tamices o Cribas,2091-06-28,2091-06-29 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,48,46
Prensas,2091-08-02,2091-08-02 05:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,4,5
Lavadoras de Pulpa,2091-09-16,2091-09-19 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,72,74
Tamices o Cribas,2091-10-16,2091-10-16 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,24,22
Digestores,2091-12-15,2091-12-15 04:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,4,4
Refinadores,2092-02-03,2092-02-03 06:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,6,6
Tamices o Cribas,2092-03-04,2092-03-05 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Condiciones operativas extremas,48,47
Lavadoras de Pulpa,2092-04-18,2092-04-18 04:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,4,4
Prensas,2092-05-23,2092-05-23 07:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Falla mecánica,6,7
Prensas,2092-06-27,2092-06-27 04:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,6,4
Refinadores,2092-08-16,2092-08-16 08:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,6,8
Refinadores,2092-10-05,2092-10-08 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Condiciones operativas extremas,72,72
Bombas,2092-11-14,2092-11-14 07:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,6,7
Tamices o Cribas,2092-12-14,2092-12-15 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Sobrecarga,24,26
Tamices o Cribas,2093-01-13,2093-01-16 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Fatiga del material,72,74
Refinadores,2093-03-04,2093-03-04 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,4,5
Tamices o Cribas,2093-04-03,2093-04-06 01:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,72,73
Prensas,2093-05-08,2093-05-10 00:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,48,48
Lavadoras de Pulpa,2093-06-22,2093-06-23 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,24,25
Prensas,2093-07-27,2093-07-29 00:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,48,48
Prensas,2093-08-31,2093-08-31 12:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,12,12
Lavadoras de Pulpa,2093-10-15,2093-10-16 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,48,47
Lavadoras de Pulpa,2093-11-29,2093-11-30 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,24,25
Lavadoras de Pulpa,2094-01-13,2094-01-15 00:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,48,48
Refinadores,2094-03-04,2094-03-07 02:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,72,74
Digestores,2094-05-03,2094-05-03 23:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,24,23
Refinadores,2094-06-22,2094-06-22 10:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,12,10
Refinadores,2094-08-11,2094-08-11 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,24,23
Tamices o Cribas,2094-09-10,2094-09-13 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,72,74
Bombas,2094-10-20,2094-10-20 04:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,6,4
Lavadoras de Pulpa,2094-12-04,2094-12-04 04:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,6,4
Prensas,2095-01-08,2095-01-08 03:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,4,3
Tamices o Cribas,2095-02-07,2095-02-07 11:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,12,11
Tamices o Cribas,2095-03-09,2095-03-09 11:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,12,11
Digestores,2095-05-08,2095-05-08 09:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,8,9
Lavadoras de Pulpa,2095-06-22,2095-06-24 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,72,71
Prensas,2095-07-27,2095-07-27 04:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,4,4
Refinadores,2095-09-15,2095-09-15 06:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,4,6
Digestores,2095-11-14,2095-11-15 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Error humano,24,24
Refinadores,2096-01-03,2096-01-03 07:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,8,7
